Waktu,Harga,Volume
2026-08-21 09:00,90.0,9839400
2026-08-21 09:05,90.0,9839400
2026-08-21 09:15,90.0,9839400
2026-08-21 09:10,90.0,9839400
2026-08-21 09:25,90.0,9839400
2026-08-21 09:20,90.0,9839400
2026-08-21 09:35,90.0,9839400
2026-08-21 09:30,90.0,9839400
2026-08-21 09:45,90.0,9839400
2026-08-21 09:40,90.0,9839400
2026-08-21 09:55,90.0,9839400
2026-08-21 09:50,90.0,9839400
2026-08-21 10:05,90.0,9839400
2026-08-21 10:00,90.0,9839400
2026-08-21 10:15,90.0,582300
2026-08-21 10:10,89.0,647200
2026-08-21 10:25,90.0,1851100
2026-08-21 10:20,90.0,1864000
2026-08-21 10:35,90.0,1962600
2026-08-21 10:30,90.0,2067300
2026-08-21 10:45,91.0,2237500
2026-08-21 10:40,91.0,2240800
2026-08-21 10:50,91.0,2260000
2026-08-21 10:55,91.0,2260100
2026-08-21 11:05,91.0,2316000
2026-08-21 11:00,91.0,2316400
2026-08-21 11:15,91.0,2393700
2026-08-21 11:10,91.0,2393700
2026-08-21 11:25,90.0,2603400
2026-08-21 11:20,90.0,2603400
2026-08-21 11:35,90.0,3014400
